id,q_num,source_doc,bank_answer,bank_option_count,docx_block_id,docx_year_half,docx_q_num,docx_answer,docx_option_count,match_score,answer_status,needs_review
60,60,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#60,B,4,60,2020年下半年,62,B,1,0.99,same,False
61,61,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#61,C,4,61,2020年下半年,63,C,1,0.99,same,False
62,62,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#62,A,4,62,2020年下半年,64,A,1,0.99,same,False
63,63,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#63,C,4,63,2020年下半年,65,C,2,0.99,same,False
64,64,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#64,D,4,64,2020年下半年,66,D,1,0.99,same,False
65,65,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#65,B,5,65,2020年下半年,69,B,1,0.99,same,False
66,66,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#66,A,4,66,2020年下半年,70,A,1,0.99,same,False
67,67,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#67,D,4,67,2020年下半年,71,D,2,0.99,same,False
68,68,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#68,C,4,68,2020年下半年,72,C,2,0.99,same,False
69,69,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#69,C,4,69,2020年下半年,73,C,2,0.99,same,False
70,70,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#70,C,4,70,2020年下半年,74,C,2,0.99,same,False
71,71,ISPM:objective:2020年下半年考试试题【有答案版】_ocr.pdf#71,A,4,71,2020年下半年,75,A,1,0.99,same,False
72,72,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#1,B,4,72,2021年上半年,1,B,2,0.99,same,False
73,73,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#2,C,4,73,2021年上半年,2,C,1,0.99,same,False
74,74,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#3,D,4,74,2021年上半年,3,D,1,0.99,same,False
75,75,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#4,C,4,75,2021年上半年,4,C,4,0.99,same,False
76,76,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#5,A,4,76,2021年上半年,5,A,1,0.99,same,False
77,77,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#6,A,4,77,2021年上半年,6,A,4,0.99,same,False
78,78,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#7,C,4,78,2021年上半年,7,C,1,0.99,same,False
79,79,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#8,B,4,79,2021年上半年,8,B,1,0.99,same,False
80,80,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#9,A,5,80,2021年上半年,9,A,1,0.99,same,False
81,81,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#10,D,4,81,2021年上半年,10,D,1,0.99,same,False
82,82,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#11,B,4,82,2021年上半年,11,B,1,0.99,same,False
83,83,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#12,A,4,83,2021年上半年,12,A,1,0.99,same,False
84,84,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#13,A,4,84,2021年上半年,13,A,1,0.99,same,False
85,85,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#14,D,4,85,2021年上半年,14,D,1,0.99,same,False
86,86,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#15,D,4,86,2021年上半年,15,D,1,0.99,same,False
87,87,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#16,B,4,87,2021年上半年,16,B,1,0.99,same,False
88,88,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#17,A,4,88,2021年上半年,17,A,4,0.99,same,False
89,89,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#18,B,4,89,2021年上半年,18,B,1,0.99,same,False
90,90,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#19,A,4,90,2021年上半年,19,A,1,0.99,same,False
91,91,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#20,B,4,91,2021年上半年,20,B,4,0.99,same,False
92,92,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#21,C,4,92,2021年上半年,21,C,4,0.99,same,False
93,93,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#22,A,4,93,2021年上半年,22,A,4,0.99,same,False
94,94,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#23,A,4,94,2021年上半年,23,A,1,0.99,same,False
95,95,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#24,C,4,95,2021年上半年,24,C,4,0.99,same,False
96,96,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#25,D,4,96,2021年上半年,25,D,2,0.99,same,False
97,97,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#26,D,4,97,2021年上半年,26,D,4,0.99,same,False
98,98,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#27,B,4,98,2021年上半年,27,B,2,0.99,same,False
99,99,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#28,D,4,99,2021年上半年,28,D,4,0.99,same,False
100,100,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#29,B,4,100,2021年上半年,29,B,1,0.99,same,False
101,101,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#30,A,4,101,2021年上半年,30,A,4,0.99,same,False
102,102,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#31,C,4,102,2021年上半年,31,C,4,0.99,same,False
103,103,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#32,B,4,103,2021年上半年,32,B,3,0.99,same,False
104,104,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#33,D,4,104,2021年上半年,35,D,1,0.99,same,False
105,105,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#34,C,4,105,2021年上半年,36,C,4,0.99,same,False
106,106,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#35,A,4,106,2021年上半年,37,A,4,0.99,same,False
107,107,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#36,C,4,107,2021年上半年,38,C,1,0.99,same,False
108,108,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#37,C,4,108,2021年上半年,39,C,1,0.99,same,False
109,109,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#38,D,4,109,2021年上半年,40,D,1,0.99,same,False
110,110,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#39,B,4,110,2021年上半年,41,B,1,0.99,same,False
111,111,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#40,D,4,111,2021年上半年,42,D,4,0.99,same,False
112,112,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#41,C,4,112,2021年上半年,43,C,4,0.99,same,False
113,113,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#42,A,4,113,2021年上半年,44,A,1,0.99,same,False
114,114,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#43,C,4,114,2021年上半年,45,C,4,0.99,same,False
115,115,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#44,B,4,115,2021年上半年,46,B,1,0.99,same,False
116,116,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#45,A,4,116,2021年上半年,47,A,1,0.99,same,False
117,117,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#46,C,4,117,2021年上半年,48,C,4,0.99,same,False
118,118,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#47,A,4,118,2021年上半年,49,A,1,0.99,same,False
119,119,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#48,D,4,119,2021年上半年,50,D,1,0.99,same,False
120,120,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#49,B,4,120,2021年上半年,51,B,1,0.99,same,False
121,121,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#50,C,4,121,2021年上半年,52,C,1,0.99,same,False
122,122,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#51,B,4,122,2021年上半年,53,B,3,0.99,same,False
123,123,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#52,C,4,123,2021年上半年,54,C,4,0.99,same,False
124,124,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#53,B,4,124,2021年上半年,55,B,4,0.99,same,False
125,125,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#54,B,4,125,2021年上半年,56,B,4,0.99,same,False
126,126,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#55,C,4,126,2021年上半年,57,C,1,0.99,same,False
127,127,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#56,D,4,127,2021年上半年,58,D,1,0.99,same,False
128,128,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#57,A,4,128,2021年上半年,59,A,1,0.99,same,False
129,129,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#58,B,4,129,2021年上半年,60,B,2,0.99,same,False
130,130,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#59,D,4,130,2021年上半年,61,D,4,0.99,same,False
131,131,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#60,B,4,131,2021年上半年,62,B,1,0.99,same,False
132,132,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#61,A,4,132,2021年上半年,63,A,1,0.99,same,False
133,133,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#62,C,4,133,2021年上半年,64,C,4,0.99,same,False
134,134,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#63,A,4,134,2021年上半年,65,A,4,0.99,same,False
135,135,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#64,B,4,135,2021年上半年,66,B,1,0.99,same,False
136,136,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#65,B,4,136,2021年上半年,69,B,1,0.99,same,False
137,137,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#66,D,4,137,2021年上半年,70,D,1,0.99,same,False
138,138,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#67,B,4,138,2021年上半年,71,B,2,0.99,same,False
139,139,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#68,C,4,139,2021年上半年,72,C,2,0.99,same,False
140,140,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#69,D,4,140,2021年上半年,73,D,4,0.99,same,False
141,141,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#70,A,4,141,2021年上半年,74,A,2,0.99,same,False
142,142,ISPM:objective:2021年上半年考试试题【有答案版】_ocr.pdf#71,D,4,142,2021年上半年,75,D,3,0.99,same,False
143,143,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#1,B,4,143,2021年下半年,1,B,1,0.99,same,False
144,144,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#2,D,4,144,2021年下半年,2,D,1,0.99,same,False
145,145,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#3,A,4,145,2021年下半年,3,A,1,0.99,same,False
146,146,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#4,C,4,146,2021年下半年,4,C,1,0.99,same,False
147,147,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#5,B,4,147,2021年下半年,5,B,1,0.99,same,False
148,148,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#6,C,4,148,2021年下半年,6,C,4,0.99,same,False
149,149,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#7,D,4,149,2021年下半年,7,D,1,0.99,same,False
150,150,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#8,C,4,150,2021年下半年,8,C,1,0.99,same,False
151,151,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#9,D,4,151,2021年下半年,9,D,1,0.99,same,False
152,152,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#10,A,4,152,2021年下半年,10,A,1,0.99,same,False
153,153,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#11,D,5,153,2021年下半年,11,D,1,0.99,same,False
154,154,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#12,C,4,154,2021年下半年,12,C,4,0.99,same,False
155,155,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#13,C,4,155,2021年下半年,13,C,2,0.99,same,False
156,156,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#14,D,4,156,2021年下半年,14,D,4,0.99,same,False
157,157,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#15,C,4,157,2021年下半年,15,C,4,0.99,same,False
158,158,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#16,A,4,158,2021年下半年,16,A,2,0.99,same,False
159,159,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#17,D,4,159,2021年下半年,17,D,2,0.99,same,False
160,160,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#18,A,4,160,2021年下半年,18,A,1,0.99,same,False
161,161,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#19,B,4,161,2021年下半年,19,B,1,0.99,same,False
162,162,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#20,B,4,162,2021年下半年,20,B,1,0.99,same,False
163,163,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#21,A,4,163,2021年下半年,21,A,2,0.99,same,False
164,164,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#22,C,4,164,2021年下半年,22,C,4,0.99,same,False
165,165,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#23,B,4,165,2021年下半年,23,B,1,0.99,same,False
166,166,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#24,D,4,166,2021年下半年,24,D,1,0.99,same,False
167,167,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#25,A,4,167,2021年下半年,25,A,4,0.99,same,False
168,168,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#26,B,4,168,2021年下半年,26,B,4,0.99,same,False
169,169,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#27,C,4,169,2021年下半年,27,C,1,0.99,same,False
170,170,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#28,D,4,170,2021年下半年,28,D,1,0.99,same,False
171,171,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#29,D,4,171,2021年下半年,29,D,4,0.99,same,False
172,172,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#30,A,4,172,2021年下半年,30,A,3,0.99,same,False
173,173,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#31,B,4,173,2021年下半年,31,B,1,0.99,same,False
174,174,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#32,C,4,174,2021年下半年,32,C,1,0.99,same,False
175,175,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#33,A,5,175,2021年下半年,33,A,2,0.99,same,False
176,176,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#34,A,4,176,2021年下半年,34,A,1,0.99,same,False
177,177,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#35,C,4,177,2021年下半年,35,C,1,0.99,same,False
178,178,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#36,D,4,178,2021年下半年,36,D,1,0.99,same,False
179,179,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#37,B,4,179,2021年下半年,37,B,1,0.99,same,False
180,180,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#38,A,4,180,2021年下半年,38,A,4,0.99,same,False
181,181,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#39,C,4,181,2021年下半年,39,C,4,0.99,same,False
182,182,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#40,C,4,182,2021年下半年,40,C,4,0.99,same,False
183,183,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#41,B,4,183,2021年下半年,41,B,1,0.99,same,False
184,184,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#42,C,4,184,2021年下半年,42,C,1,0.99,same,False
185,185,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#43,A,4,185,2021年下半年,43,A,1,0.99,same,False
186,186,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#44,D,4,186,2021年下半年,44,D,1,0.99,same,False
187,187,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#45,B,4,187,2021年下半年,45,,4,0.99,na,False
188,188,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#46,,4,188,2021年下半年,46,,1,0.99,na,False
189,189,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#47,B,4,189,2021年下半年,47,,1,0.99,na,False
190,190,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#48,B,4,190,2021年下半年,48,B,1,0.99,same,False
191,191,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#49,C,4,191,2021年下半年,49,C,1,0.99,same,False
192,192,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#50,A,4,192,2021年下半年,50,A,1,0.99,same,False
193,193,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#51,B,5,193,2021年下半年,51,B,2,0.99,same,False
194,194,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#52,C,4,194,2021年下半年,52,C,1,0.99,same,False
195,195,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#53,D,4,195,2021年下半年,53,D,1,0.99,same,False
196,196,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#54,D,4,196,2021年下半年,54,D,4,0.99,same,False
197,197,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#55,C,4,197,2021年下半年,55,C,1,0.99,same,False
198,198,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#56,C,4,198,2021年下半年,56,C,4,0.99,same,False
199,199,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#57,B,4,199,2021年下半年,57,B,4,0.99,same,False
200,200,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#58,C,4,200,2021年下半年,58,C,4,0.99,same,False
201,201,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#59,A,4,201,2021年下半年,59,A,4,0.99,same,False
202,202,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#60,A,4,202,2021年下半年,60,A,4,0.99,same,False
203,203,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#61,C,4,203,2021年下半年,61,C,1,0.99,same,False
204,204,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#62,D,4,204,2021年下半年,62,D,2,0.99,same,False
205,205,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#63,B,4,205,2021年下半年,63,B,1,0.99,same,False
206,206,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#64,D,4,206,2021年下半年,64,D,1,0.99,same,False
207,207,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#65,A,4,207,2021年下半年,65,A,1,0.99,same,False
208,208,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#66,B,4,208,2021年下半年,70,B,1,0.99,same,False
209,209,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#67,A,4,209,2021年下半年,71,A,2,0.99,same,False
210,210,ISPM:objective:2021年下半年考试试题【有答案版】_ocr.pdf#68,B,4,210,2021年下半年,72,B,2,0.99,same,False
